nawil_kerja,kode_uker,nama_bank,nama_bank_cabang
Kediri,6168,"BANK RAKYAT INDONESIA","PT. BRI CABANG BLITAR - UNIT GARUM"
Kediri,6155,"BANK RAKYAT INDONESIA","PT. BRI CABANG BLITAR - UNIT KADEMANGAN"
Yogyakarta,3074,"BANK RAKYAT INDONESIA","PT. BRI CABANG SLEMAN - UNIT TURI"
"Bandar Lampung",5653,"BANK RAKYAT INDONESIA","PT. BRI CABANG KOTA BUMI - UNIT BUNGA MAYANG KOTABUMI"
Balige,5387,"BANK RAKYAT INDONESIA","PT. BRI CABANG TARUTUNG - UNIT SIBORONG BORONG"
Kediri,6155,"BANK RAKYAT INDONESIA","PT. BRI CABANG BLITAR - UNIT KADEMANGAN"
Makassar,4966,"BANK RAKYAT INDONESIA","PT. BRI CABANG MAROS - UNIT HASANUDDIN"
Makassar,3420,"BANK RAKYAT INDONESIA","PT. BRI CABANG WATAMPONE - UNIT WATAMPONE"
"DKI Jakarta",7638,"BANK RAKYAT INDONESIA","PT. BRI CABANG  KALIMALANG - UNIT KOLONEL SUGIONO"
Sukabumi,4078,"BANK RAKYAT INDONESIA","PT. BRI CABANG CIANJUR - UNIT CIKAROYA"
Medan,5276,"BANK RAKYAT INDONESIA","PT. BRI CABANG KABANJAHE - UNIT KUTABULUH"
Palembang,5762,"BANK RAKYAT INDONESIA","PT. BRI CABANG PALEMBANG A. RIVAI - UNIT MERDEKA PALEMBANG "
Banjarmasin,4489,"BANK RAKYAT INDONESIA","PT. BRI CABANG BANJARMASIN SAMUDERA - UNIT PASAR LAMA"
"DKI Jakarta",7638,"BANK RAKYAT INDONESIA","PT. BRI CABANG  KALIMALANG - UNIT KOLONEL SUGIONO"
Semarang,6995,"BANK RAKYAT INDONESIA","PT. BRI CABANG WONOSOBO - UNIT KALIKAJAR"
Malang,6398,"BANK RAKYAT INDONESIA","PT. BRI CABANG KEPANJEN - UNIT GONDANGLEGI"
Jayapura,7170,"BANK RAKYAT INDONESIA","PT. BRI CABANG NABIRE - UNIT ENAROTALI"
Semarang,0979,"BANK RAKYAT INDONESIA","PT. BRI CABANG SEMARANG MURA - UNIT TANJUNG MAS"
Kediri,6584,"BANK RAKYAT INDONESIA","PT. BRI CABANG TULUNGAGUNG - UNIT PATIMURA"
Makassar,7269,"BANK RAKYAT INDONESIA","PT. BRI CABANG SENGKANG - UNIT KEERA"
Solo,6739,"BANK RAKYAT INDONESIA","PT. BRI CABANG KLATEN - UNIT KARANGNONGKO"
Solo,6705,"BANK RAKYAT INDONESIA","PT. BRI CABANG KARANGANYAR - UNIT MATESIH"
"Bandar Lampung",5653,"BANK RAKYAT INDONESIA","PT. BRI CABANG KOTA BUMI - UNIT BUNGA MAYANG KOTABUMI"
Sukabumi,4078,"BANK RAKYAT INDONESIA","PT. BRI CABANG CIANJUR - UNIT CIKAROYA"
Surabaya,6209,"BANK RAKYAT INDONESIA","PT. BRI CABANG GRESIK - UNIT DUDUKSAMPEYAN"
Kediri,3748,"BANK RAKYAT INDONESIA","PT. BRI CABANG NGANJUK - UNIT BAGOR"
Palangkaraya,4575,"BANK RAKYAT INDONESIA","PT. BRI CABANG SAMPIT - UNIT PARENGGEAN"
Cirebon,4306,"BANK RAKYAT INDONESIA","PT. BRI CABANG MAJALENGKA - UNIT PADAREK"
Kediri,3502,"BANK RAKYAT INDONESIA","PT. BRI CABANG BLITAR - UNIT SUTOJAYAN"
Madiun,6442,"BANK RAKYAT INDONESIA","PT. BRI CABANG NGAWI - UNIT KEDUNGGALAR"
Tasikmalaya,4443,"BANK RAKYAT INDONESIA","PT. BRI CABANG TASIKMALAYA - UNIT BANTAR"
Sukabumi,4078,"BANK RAKYAT INDONESIA","PT. BRI CABANG CIANJUR - UNIT CIKAROYA"
Makassar,7519,"BANK RAKYAT INDONESIA","PT. BRI CABANG WATAMPONE - UNIT CINA"
Semarang,6043,"BANK RAKYAT INDONESIA","PT. BRI CABANG SALATIGA - UNIT TENGARAN"
Bandung,4167,"BANK RAKYAT INDONESIA","PT. BRI CABANG GARUT - UNIT CISURUPAN"
Surabaya,6178,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOJONEGORO - UNIT KAPAS"
Surabaya,6181,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOJONEGORO - UNIT SUGIHWARAS"
Kudus,5949,"BANK RAKYAT INDONESIA","PT. BRI CABANG PATI - UNIT WINONG"
Surabaya,6181,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOJONEGORO - UNIT SUGIHWARAS"
Surabaya,6301,"BANK RAKYAT INDONESIA","PT. BRI CABANG LAMONGAN - UNIT SUKODADI"
Semarang,6016,"BANK RAKYAT INDONESIA","PT. BRI CABANG PURWODADI - UNIT BRATI"
Palopo,8105,"BANK RAKYAT INDONESIA","PT. BRI CABANG MASAMBA - UNIT BELAWA BARU"
Surabaya,3193,"BANK RAKYAT INDONESIA","PT. BRI CABANG SURABAYA KAPAS KRAMPUNG - UNIT KAPAS KRAMPUNG "
Purwakarta,4350,"BANK RAKYAT INDONESIA","PT. BRI CABANG PURWAKARTA - UNIT CAMPAKA SARI"
Surabaya,6212,"BANK RAKYAT INDONESIA","PT. BRI CABANG JEMBER - UNIT JENGGAWAH"
Palu,5231,"BANK RAKYAT INDONESIA","PT. BRI CABANG TOLI-TOLI - UNIT DIAPATI"
Kupang,3618,"BANK RAKYAT INDONESIA","PT. BRI CABANG KUPANG - UNIT BAA ROTE"
Aceh,3525,"BANK RAKYAT INDONESIA","PT. BRI CABANG TAKENGON - UNIT KOTA"
Surabaya,6327,"BANK RAKYAT INDONESIA","PT. BRI CABANG LUMAJANG - UNIT PASIRIAN"
Parepare,5062,"BANK RAKYAT INDONESIA","PT. BRI CABANG SIDRAP - UNIT OTTING"
Kediri,6265,"BANK RAKYAT INDONESIA","PT. BRI CABANG KEDIRI - UNIT PELAS"
Semarang,6685,"BANK RAKYAT INDONESIA","PT. BRI CABANG GOMBONG - UNIT BUAYAN"
Surabaya,6180,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOJONEGORO - UNIT NGRAHO"
Kudus,5880,"BANK RAKYAT INDONESIA","PT. BRI CABANG CEPU - UNIT SIDOREJO"
"Bandar Lampung",7377,"BANK RAKYAT INDONESIA","PT. BRI CABANG KOTABUMI - UNIT BANJIT"
Madiun,6560,"BANK RAKYAT INDONESIA","PT. BRI CABANG TRENGGALEK - UNIT KARANGAN"
Jambi,5563,"BANK RAKYAT INDONESIA","PT. BRI CABANG SUNGAI PENUH - UNIT SIULAK GEDANG"
Cirebon,4240,"BANK RAKYAT INDONESIA","PT. BRI CABANG JATIBARANG - UNIT TUKDANA"
Surabaya,6183,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOJONEGORO - UNIT BAURENO"
"Tanjung Pinang",5568,"BANK RAKYAT INDONESIA","PT. BRI CABANG TANJUNG PINANG - UNIT PINANG KENCANA TANJUNG PINANG"
Palopo,7839,"BANK RAKYAT INDONESIA","PT. BRI CABANG PALOPO - UNIT RAMBUTAN"
Banyuwangi,6128,"BANK RAKYAT INDONESIA","PT. BRI CABANG BANYUWANGI - UNIT PESANGGARAN"
Makassar,7492,"BANK RAKYAT INDONESIA","PT. BRI CABANG TAKALAR - UNIT BONTORAMBA"
Tasikmalaya,4373,"BANK RAKYAT INDONESIA","PT. BRI CABANG SINGAPARNA - UNIT BOJONGGAMBIR"
Makassar,5050,"BANK RAKYAT INDONESIA","PT. BRI CABANG SENGKANG - UNIT PENEKI"
Bandung,4170,"BANK RAKYAT INDONESIA","PT. BRI CABANG GARUT - UNIT KOTA KALER"
Kediri,3203,"BANK RAKYAT INDONESIA","PT. BRI CABANG JOMBANG - UNIT PETERONGAN"
Semarang,6995,"BANK RAKYAT INDONESIA","PT. BRI CABANG WONOSOBO - UNIT KALIKAJAR"
Kudus,3444,"BANK RAKYAT INDONESIA","PT. BRI CABANG PATI - UNIT PATI II"
Palangkaraya,4541,"BANK RAKYAT INDONESIA","PT. BRI CABANG PALANGKARAYA - UNIT RAJAWALI"
Cirebon,4306,"BANK RAKYAT INDONESIA","PT. BRI CABANG MAJALENGKA - UNIT PADAREK"
Medan,3352,"BANK RAKYAT INDONESIA","PT. BRI CABANG PEMATANG SIANTAR - UNIT PASAR HORAS"
Surabaya,3138,"BANK RAKYAT INDONESIA","PT. BRI CABANG SURABAYA KERTAJAYA - UNIT MEJOYO"
Kudus,5833,"BANK RAKYAT INDONESIA","PT. BRI CABANG BLORA - UNIT JETIS"
"Bandar Lampung",5653,"BANK RAKYAT INDONESIA","PT. BRI CABANG KOTA BUMI - UNIT BUNGA MAYANG KOTABUMI"
"Bandar Lampung",5653,"BANK RAKYAT INDONESIA","PT. BRI CABANG KOTA BUMI - UNIT BUNGA MAYANG KOTABUMI"
Kudus,3784,"BANK RAKYAT INDONESIA","PT. BRI CABANG CEPU - UNIT KEDUNGTUBAN"
Surabaya,3193,"BANK RAKYAT INDONESIA","PT. BRI CABANG SURABAYA KAPAS KRAMPUNG - UNIT KAPAS KRAMPUNG "
Makassar,4964,"BANK RAKYAT INDONESIA","PT. BRI CABANG MAROS - UNIT BANTIMURUNG"
Makassar,3421,"BANK RAKYAT INDONESIA","PT. BRI CABANG SINJAI - UNIT PALATTAE"
Padang,5447,"BANK RAKYAT INDONESIA","PT. BRI CABANG SIMPANG EMPAT - UNIT KINALI "
Padang,5447,"BANK RAKYAT INDONESIA","PT. BRI CABANG SIMPANG EMPAT - UNIT KINALI "
Medan,5345,"BANK RAKYAT INDONESIA","PT. BRI CABANG PEMATANG SIANTAR - UNIT BANGUN"
Surabaya,7835,"BANK RAKYAT INDONESIA","PT. BRI CABANG SIDOARJO - UNIT TROPODO"
